DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,LOCATION,LAT,LON
220107436,28/02/2022,15:30,1,Central,111,910,KIDNAPPING,0418 1218 2004 1822 1268,0,F,W,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,ALISO,34.0615,-118.2412
221806635,28/02/2022,5:00,18,Southeast,1871,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,700 W  145TH                        ST,33.9003,-118.2876
221106177,28/02/2022,9:17,11,Northeast,1116,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 1912 2024,54,F,B,HIGH SCHOOL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,800 N  AVE 54,34.1152,-118.1991
220300568,28/02/2022,9:20,3,Southwest,319,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0360 0416 0445 0553 0913 1251 1259,17,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,STICK,IC,Invest Cont,800 W  WASHINGTON                   BL,34.036,-118.2756
220906247,28/02/2022,16:35,9,Van Nuys,904,210,ROBBERY,1822 0352 0334 1420,0,X,X,OTHER STORE,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,7900 N  SEPULVEDA                    BL,34.2141,-118.4662
221906445,28/02/2022,21:00,19,Mission,1918,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 0321,50,F,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,13200    FOOTHILL                     BL,34.2996,-118.4217
220206523,28/02/2022,17:30,2,Rampart,269,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 0329 0360,59,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1200 W  8TH                          ST,34.0496,-118.2677
220806503,28/02/2022,17:30,8,West LA,882,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,34,M,W,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2000    BUTLER                       AV,34.0393,-118.4466
220706205,28/02/2022,13:00,7,Wilshire,762,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0,32,F,B,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,1500 S  HAYWORTH                     AV,34.0499,-118.368
221106264,28/02/2022,15:00,11,Northeast,1145,330,BURGLARY FROM VEHICLE,385,53,M,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2400    CORRALITAS                   DR,34.0979,-118.2532
220206864,28/02/2022,10:00,2,Rampart,257,940,EXTORTION,0432 0337 0913 1813 2000,0,X,X,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1200    INGRAHAM                     ST,34.0523,-118.2653
220606994,28/02/2022,13:46,6,Hollywood,657,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 0913 1501 1309 1257,3,M,H,STREET,511,VERBAL THREAT,IC,Invest Cont,SANTA MONICA                 BL,34.0908,-118.3092
221906374,28/02/2022,11:30,19,Mission,1972,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0416 1813,65,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,9000    BURNET                       AV,34.2337,-118.4632
222106341,28/02/2022,15:05,21,Topanga,2156,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,35,M,X,DEPARTMENT STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,21700    VICTORY                      BL,34.1877,-118.6015
220306697,28/02/2022,6:10,3,Southwest,331,624,BATTERY - SIMPLE ASSAULT,0913 0342 1309 1259 0329 0416 0446,17,F,B,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2800 S  HARCOURT                     AV,34.0289,-118.3487
220306698,28/02/2022,6:10,3,Southwest,331,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 1309 0329,21,F,B,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2800 S  HARCOURT                     AV,34.0289,-118.3487
221806674,28/02/2022,19:30,18,Southeast,1801,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0500 0908 1259 0943,16,F,B,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,FIGUEROA                     ST,33.951,-118.2827
220107661,28/02/2022,21:00,1,Central,147,624,BATTERY - SIMPLE ASSAULT,0448 0432 0400,46,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH                          ST,34.0446,-118.245
221307092,28/02/2022,11:00,13,Newton,1354,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0419 0447 0416 1814 0913,40,F,B,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4300    WOODLAWN                     AV,34.0057,-118.2728
221207152,28/02/2022,12:30,12,77th Street,1255,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 0554 0602 0913 0356,23,M,B,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1000 W  75TH                         ST,33.9719,-118.2919
220306738,28/02/2022,22:00,3,Southwest,391,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 0216 1813 1243 2002,55,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4400 W  DON TOMASO                   DR,34.005,-118.3508
221106178,28/02/2022,11:00,11,Northeast,1183,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1600 N  ALVARADO                     ST,34.0834,-118.2599
220107519,28/02/2022,21:00,1,Central,142,330,BURGLARY FROM VEHICLE,1307 0344 0329 1822 1609,38,M,B,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,300 S  HOPE                         ST,34.0537,-118.2523
221806687,28/02/2022,23:30,18,Southeast,1822,901,VIOLATION OF RESTRAINING ORDER,0913 2038 1202 0561 0602,64,F,B,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,10300 S  MAIN                         ST,33.9429,-118.2739
221000592,28/02/2022,21:05,10,West Valley,1011,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2004,61,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,19200    SHERMAN                      WY,34.2012,-118.5445
220806425,28/02/2022,23:10,8,West LA,852,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0444,38,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1700 S  WESTGATE                     AV,34.0397,-118.4569
220706216,28/02/2022,2:45,7,Wilshire,701,624,BATTERY - SIMPLE ASSAULT,0416 0913,30,F,W,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,MELROSE                      PL,34.0836,-118.3765
221207149,28/02/2022,17:00,12,77th Street,1265,210,ROBBERY,0336 0342 0216 0355 0334 0432 0344 1822 2024,0,M,B,OTHER BUSINESS,102,HAND GUN,IC,Invest Cont,8300 S  VERMONT                      AV,33.9611,-118.2917
221207176,28/02/2022,19:50,12,77th Street,1273,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0400 0344 0346 1822 0601 0325,0,X,X,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1800 W  MANCHESTER                   AV,33.96,-118.309
220206500,28/02/2022,23:10,2,Rampart,256,946,OTHER MISCELLANEOUS CRIME,1822 0342 1501 1309,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6TH,34.0585,-118.2725
221806682,28/02/2022,15:00,18,Southeast,1822,210,ROBBERY,0906 0344 0432 0371 1822,41,M,H,MOTEL,113,SIMULATED GUN,AA,Adult Arrest,10300 S  BROADWAY,33.9428,-118.2781
220606796,28/02/2022,19:15,6,Hollywood,642,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,7600    DE LONGPRE                   AV,34.0962,-118.355
221006178,28/02/2022,7:35,10,West Valley,1088,520,VEHICLE - ATTEMPT STOLEN,1822 0321 0329,24,F,W,ELEMENTARY SCHOOL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4200    LANAI                        RD,34.1532,-118.4983
220206495,28/02/2022,8:30,2,Rampart,218,330,BURGLARY FROM VEHICLE,1822 1307 0329 1302 0344,28,F,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,KELLAM,34.0706,-118.2545
221006195,28/02/2022,20:50,10,West Valley,1063,888,TRESPASSING,1822 2004,0,M,O,HOSPITAL,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,18300    CLARK                        ST,34.1698,-118.5308
221806689,28/02/2022,17:00,18,Southeast,1827,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1218 2001 0305 0419 0445 0416,50,F,H,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,92ND                         ST,33.9533,-118.2419
220606953,28/02/2022,6:59,6,Hollywood,635,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 0329,61,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1900 N  CAHUENGA                     BL,34.1079,-118.3337
221605870,28/02/2022,9:45,16,Foothill,1641,888,TRESPASSING,1501,0,M,W,JUNIOR HIGH SCHOOL,500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,9900    LAUREL CANYON                BL,34.2498,-118.4227
220107439,28/02/2022,5:25,1,Central,124,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,X,X,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,200 N  LOS ANGELES                  ST,34.0525,-118.2432
220107454,28/02/2022,19:15,1,Central,153,624,BATTERY - SIMPLE ASSAULT,0416 1822,54,M,B,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,600 S  BROADWAY,34.0466,-118.252
220806451,28/02/2022,14:00,8,West LA,842,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 1300 1606 0344 0352,25,F,A,GARAGE/CARPORT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1300    BARRY                        AV,34.0478,-118.4581
220306722,28/02/2022,21:25,3,Southwest,363,624,BATTERY - SIMPLE ASSAULT,0342 0416 0446 0104 0917,32,M,B,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,3900    CRENSHAW                     BL,34.0121,-118.3351
221207189,28/02/2022,19:30,12,77th Street,1207,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,800 W  49TH                         ST,33.9987,-118.2871
221207128,28/02/2022,9:00,12,77th Street,1203,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0913 0416 0408 0334 0421 0432 0448 0344,40,F,B,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4800 S  GRAMERCY                     PL,34,-118.3138
221706090,28/02/2022,21:10,17,Devonshire,1714,624,BATTERY - SIMPLE ASSAULT,1822 0444 0400,21,F,H,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,18900    GRANADA CIR,34.2841,-118.5459
222106206,28/02/2022,5:00,21,Topanga,2187,440,THEFT PLAIN - PETTY ($950 & UNDER),2004 0344,0,M,W,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,21900    VENTURA                      BL,34.1685,-118.6038
220206505,28/02/2022,20:30,2,Rampart,291,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0906 0411 0371,40,M,H,STREET,207,OTHER KNIFE,IC,Invest Cont,OLYMPIC,34.0444,-118.2827
221605871,28/02/2022,18:42,16,Foothill,1659,901,VIOLATION OF RESTRAINING ORDER,0913 2038,60,F,W,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,10100    GISH                         AV,34.2516,-118.2769
221307106,28/02/2022,15:00,13,Newton,1361,761,BRANDISH WEAPON,0334 0432 1822 0387,29,M,H,STREET,205,KITCHEN KNIFE,IC,Invest Cont,300 W  47TH                         ST,34.0011,-118.2783
220906304,28/02/2022,9:00,9,Van Nuys,911,510,VEHICLE - STOLEN,0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,SEPULVEDA                    AV,34.1984,-118.4662
220906266,28/02/2022,17:30,9,Van Nuys,961,330,BURGLARY FROM VEHICLE,344,32,M,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4900    NOBLE                        AV,34.1597,-118.4618
221307337,28/02/2022,22:00,13,Newton,1309,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,34,F,H,GREYHOUND OR INTERSTATE BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1700 E  7TH                          ST,34.0348,-118.2362
220405919,28/02/2022,7:05,4,Hollenbeck,457,900,VIOLATION OF COURT ORDER,2038 0913,46,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2500    FOLSOM                       ST,34.0477,-118.2047
220606775,28/02/2022,11:30,6,Hollywood,629,330,BURGLARY FROM VEHICLE,1822 1300 1307 0344,24,M,B,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3200    CANYON                       DR,34.1201,-118.3163
220806419,28/02/2022,8:45,8,West LA,885,755,BOMB SCARE,0421 0404,0,M,O,ELEMENTARY SCHOOL,501,BOMB THREAT,IC,Invest Cont,10600    ASHBY                        AV,34.0391,-118.42
221106410,28/02/2022,11:00,11,Northeast,1183,310,BURGLARY,0344 1202,0,X,X,PUBLIC STORAGE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1700    GLENDALE                     BL,34.0858,-118.2599
220506294,28/02/2022,13:30,5,Harbor,521,220,ATTEMPTED ROBBERY,1822 0325 0945 0104 0344,0,X,X,HARDWARE/BUILDING SUPPLY,511,VERBAL THREAT,IC,Invest Cont,2100 N  GAFFEY                       ST,33.7639,-118.2934
221605859,28/02/2022,5:00,16,Foothill,1656,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,8200    FOOTHILL                     BL,34.2597,-118.3114
221806650,28/02/2022,4:20,18,Southeast,1822,330,BURGLARY FROM VEHICLE,1609 0344 1822,38,M,B,DRIVEWAY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,S  BROADWAY,33.9456,-118.2784
222106274,28/02/2022,22:00,21,Topanga,2157,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,52,M,H,CONDOMINIUM/TOWNHOUSE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,21200    KITTRIDGE                    ST,34.1913,-118.5942
221506635,28/02/2022,21:30,15,N Hollywood,1545,480,BIKE - STOLEN,344,56,M,W,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,12000    ADDISON                      ST,34.1613,-118.3944
221706036,28/02/2022,21:30,17,Devonshire,1761,354,THEFT OF IDENTITY,1402 0377 1822 2004,30,F,H,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,GLEDHILL                     ST,34.2414,-118.5976
221207209,28/02/2022,13:30,12,77th Street,1249,210,ROBBERY,0336 0344 0400 0355 1822,51,F,B,PARKING LOT,106,UNKNOWN FIREARM,IC,Invest Cont,7100 S  FIGUEROA                     ST,33.9753,-118.2827
221207162,28/02/2022,6:40,12,77th Street,1249,210,ROBBERY,0344 0443,28,M,H,GAS STATION,511,VERBAL THREAT,IC,Invest Cont,6300 S  FIGUEROA                     ST,33.9824,-118.2827
221806797,28/02/2022,19:00,18,Southeast,1842,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,100 E  112TH                        ST,33.933,-118.2739
222006563,28/02/2022,17:10,20,Olympic,2044,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0361 0319 0443 0432 0603 0913,33,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,900    IROLO                        ST,34.0559,-118.3009
220506246,28/02/2022,0:01,5,Harbor,522,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0602 0913 0561 0334 0400,43,F,H,SINGLE FAMILY DWELLING,205,KITCHEN KNIFE,AO,Adult Other,900 N  WILMINGTON                   BL,33.7808,-118.2743
221506323,28/02/2022,11:00,15,N Hollywood,1555,903,CONTEMPT OF COURT,2038 2004,41,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,5100    BAKMAN                       AV,34.163,-118.3774
220206471,28/02/2022,17:00,2,Rampart,248,220,ATTEMPTED ROBBERY,1218 1822 0202 0416 0445 0334,36,M,H,TRANSIENT ENCAMPMENT,311,HAMMER,IC,Invest Cont,LOMA,34.0579,-118.2649
220107513,28/02/2022,7:15,1,Central,124,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,57,F,H,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,100 W  1ST                          ST,34.0522,-118.2434
221605903,28/02/2022,10:00,16,Foothill,1663,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0413 1251 1258 2024 0913 1824,12,F,H,PRIVATE SCHOOL/PRESCHOOL,507,LIQUOR/DRUGS,IC,Invest Cont,12100    ALLEGHENY                    ST,34.2344,-118.3967
221307119,28/02/2022,20:15,13,Newton,1373,624,BATTERY - SIMPLE ASSAULT,0416 0419 0432 0913,17,F,H,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,600 E  53RD                         ST,33.9941,-118.2652
220206464,28/02/2022,8:30,2,Rampart,289,210,ROBBERY,0344 1202 1822 0305 0444 0429,70,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1200 S  UNION                        AV,34.0458,-118.2763
221806750,28/02/2022,20:00,18,Southeast,1822,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,94TH                         ST,33.9469,-118.2772
220906253,28/02/2022,20:02,9,Van Nuys,989,310,BURGLARY,0344 0358 1414 1420 0329 1609 1401 0352 1402 0202,33,M,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,13900    MILBANK                      ST,34.153,-118.4359
221706111,28/02/2022,20:50,17,Devonshire,1738,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1251 0913 1817 1300 0302 1501 1259,15,F,W,STREET,102,HAND GUN,IC,Invest Cont,11000    HASKELL                      AV,34.2703,-118.476
220806505,28/02/2022,16:35,8,West LA,841,354,THEFT OF IDENTITY,0929 0930,30,F,A,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1300    BROCKTON                     AV,34.0443,-118.4638
220906407,28/02/2022,17:30,9,Van Nuys,923,330,BURGLARY FROM VEHICLE,344,41,M,H,ABANDONED BUILDING ABANDONED HOUSE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,KITTRIDGE                    ST,34.1903,-118.4586
220706193,28/02/2022,3:30,7,Wilshire,702,624,BATTERY - SIMPLE ASSAULT,447,69,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",305,FIXED OBJECT,IC,Invest Cont,600 N  SPAULDING                    AV,34.0818,-118.3574
220107480,28/02/2022,21:20,1,Central,119,624,BATTERY - SIMPLE ASSAULT,2004 0400 0416 0356,40,F,B,LA UNION STATION (NOT LINE SPECIFIC),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,800 N  ALAMEDA                      ST,34.0561,-118.2375
220107395,28/02/2022,4:50,1,Central,152,624,BATTERY - SIMPLE ASSAULT,0917 1266 0416 1822 0429 0417,43,M,H,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,500 S  GRAND                        AV,34.0502,-118.2539
221906366,28/02/2022,11:00,19,Mission,1984,888,TRESPASSING,0,47,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,8400    WILLIS                       AV,34.2231,-118.4553
221506329,28/02/2022,14:00,15,N Hollywood,1504,121,"RAPE, FORCIBLE",2000 0527 1813 0444 0515 0913 0516,35,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,7500    SIMPSON                      AV,34.2067,-118.3891
220306850,28/02/2022,19:30,3,Southwest,338,480,BIKE - STOLEN,0344 1251 1822,21,M,W,OTHER PREMISE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,900 W  JEFFERSON                    BL,34.0242,-118.2849
221207141,28/02/2022,15:35,12,77th Street,1257,210,ROBBERY,1822 0216 0355 0342 0302 0344 1309 0326,24,M,H,DRIVEWAY,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,7600 S  FIGUEROA                     ST,33.9708,-118.2827
220107448,28/02/2022,19:00,1,Central,157,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1814 2038,30,F,B,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,600 S  SAN PEDRO                    ST,34.0423,-118.2453
220107711,28/02/2022,23:21,1,Central,111,354,THEFT OF IDENTITY,1822 0930,27,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,600 N  HILL                         PL,34.0599,-118.2426
220405935,28/02/2022,21:00,4,Hollenbeck,426,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,45,F,H,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4800    HUNTINGTON                   DR,34.0886,-118.1724
220706232,28/02/2022,18:15,7,Wilshire,783,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,51,F,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2000    HAUSER                       BL,34.0391,-118.3603
220206487,28/02/2022,15:30,2,Rampart,248,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,W  3RD,34.0591,-118.2635
221106152,28/02/2022,7:10,11,Northeast,1101,330,BURGLARY FROM VEHICLE,0344 1609 0358,23,M,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4700    CRYSTAL SPRINGS              DR,34.1321,-118.2796
221706056,28/02/2022,11:20,17,Devonshire,1764,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,X,X,AMUSEMENT PARK*,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,19500    PLUMMER                      ST,34.2427,-118.5588
220405937,28/02/2022,15:00,4,Hollenbeck,464,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,53,M,H,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,200 N  CHICAGO                      ST,34.0462,-118.2114
221706193,28/02/2022,20:30,17,Devonshire,1723,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,60,M,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,20700    CHATSWORTH                   ST,34.2645,-118.5842
221806764,28/02/2022,8:20,18,Southeast,1834,354,THEFT OF IDENTITY,0100 1822 0935,28,F,W,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,10600 S  SAN PEDRO                    ST,33.9401,-118.2695
221406795,28/02/2022,22:00,14,Pacific,1403,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2900    KELTON                       AV,34.0313,-118.4238
220306724,28/02/2022,12:00,3,Southwest,362,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 2021,48,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4600    COLISEUM                     ST,34.0169,-118.3472
222006607,28/02/2022,20:40,20,Olympic,2014,901,VIOLATION OF RESTRAINING ORDER,2038 2000 1814,25,F,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,100 S  NORMANDIE                    AV,34.0726,-118.3029
220206502,28/02/2022,19:00,2,Rampart,246,330,BURGLARY FROM VEHICLE,0344 1601 1307 1609,49,M,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,600 S  ALVARADO                     ST,34.0595,-118.2749
